vid_title,vid_id,publish_date,channel_title,channel_id,category_id,duration,views,likes,comments
Theranos Boot,VWje_GCWBsc,2020-01-19T05:00:05Z,Henry Danger,UCgVQOLcpiphDMySH8CTm5WQ,43,PT22M8S,Private,407,0
Bonnie and Clyde,ifzmdaRvc5c,2020-10-14T04:11:30Z,YouTube Movies,UC3hxnrtiltPIvytbyvdGp1A,30,PT1H50M44S,Private,718,76
Bless This Mess,T5_dAGF1sNo,2020-12-21T05:02:02Z,90 Day Fiance,UChO48onVoqLaw8tn4M1u-Bw,43,PT1H30M49S,Private,42,22
Inovação e Segurança no Magic City,7I_Fc5QrJgU,2020-11-11T14:39:43Z,SoftART,UCTQX-sReu-iPmpmGx5X_Mvg,24,PT1M55S,5983,100,0
Murray Bridge - Live update Sturt Reserve,I_cZViM0Vxc,2020-09-29T07:49:58Z,Rural City of Murray Bridge,UCAXMl8LxDPk5jmjJPN8dlUg,24,P0D,5983,19,0
"🎄 TYCENO WAGER VS STEEZO THE GOD FOR 10,000 on NBA 2K23 | BEST OF 7 & YOU WON'T BELIEVE HOW IT ENDS",pl7VUGmwPqU,2020-09-03T12:02:57Z,ThE Book Of SwantE,UCcwCKsyG01U-Cn7EKMZc-Gw,20,PT3H4M10S,19201,720,31
What's Next?,1opa1xoejO0,2020-05-12T04:00:04Z,9-1-1,UCuen7EQg_PdNFsE66QV3FmA,43,PT43M7S,Private,33,3
Inovação e Segurança no Magic City,7I_Fc5QrJgU,2020-11-11T14:39:43Z,SoftART,UCTQX-sReu-iPmpmGx5X_Mvg,24,PT1M55S,5983,100,0
Murray Bridge - Live update Sturt Reserve,I_cZViM0Vxc,2020-09-29T07:49:58Z,Rural City of Murray Bridge,UCAXMl8LxDPk5jmjJPN8dlUg,24,P0D,5983,19,0
"🎄 TYCENO WAGER VS STEEZO THE GOD FOR 10,000 on NBA 2K23 | BEST OF 7 & YOU WON'T BELIEVE HOW IT ENDS",pl7VUGmwPqU,2020-09-03T12:02:57Z,ThE Book Of SwantE,UCcwCKsyG01U-Cn7EKMZc-Gw,20,PT3H4M10S,19201,720,31
Mơ về Hà Giang ca khúc hay nhất hà Giang Thu Thủy,npyJ7cUMibk,2020-11-24T01:00:46Z,A Páo,UCaIH5FiIxLGcaOvuYXn2vlQ,10,PT4M44S,4730,46,20
What's Next?,1opa1xoejO0,2020-05-12T04:00:04Z,9-1-1,UCuen7EQg_PdNFsE66QV3FmA,43,PT43M7S,Private,33,3
